Repo,Metric,Value,
cubefs,Overall repository size,,
cubefs,* Commits,,
cubefs,* Count,12.7 k,
cubefs,* Total size,4.45 MiB,
cubefs,* Trees,,
cubefs,* Count,44.8 k,
cubefs,* Total size,41.7 MiB,
cubefs,* Total tree entries,1.12 M,
cubefs,* Blobs,,
cubefs,* Count,61.1 k,
cubefs,* Total size,1.92 GiB,
cubefs,* Annotated tags,,
cubefs,* Count,6,
cubefs,* References,,
cubefs,* Count,86,
cubefs,* Branches,1,
cubefs,* Tags,47,
cubefs,* Remote-tracking refs,38,
cubefs,,,
cubefs,Biggest objects,,
cubefs,* Commits,,
cubefs,* Maximum size         [1],6.90 KiB,
cubefs,* Maximum parents      [2],2,
cubefs,* Trees,,
cubefs,* Maximum entries      [3],385,
cubefs,* Blobs,,
cubefs,* Maximum size         [4],43.0 MiB,****
cubefs,,,
cubefs,History structure,,
cubefs,* Maximum history depth,4.33 k,
cubefs,* Maximum tag depth      [5],1,
cubefs,,,
cubefs,Biggest checkouts,,
cubefs,* Number of directories  [6],1.42 k,
cubefs,* Maximum path depth     [7],19,*
cubefs,* Maximum path length    [7],179 B,*
cubefs,* Number of files        [8],10.1 k,
cubefs,* Total size of files    [8],332 MiB,
cubefs,* Number of symlinks,0,
cubefs,* Number of submodules   [9],1,
cortex,Name,Value,Level of concern
cortex,----------------------------,---------,------------------------------
cortex,Overall repository size,,
cortex,* Commits,,
cortex,* Count,8.71 k,
cortex,* Total size,5.40 MiB,
cortex,* Trees,,
cortex,* Count,99.5 k,
cortex,* Total size,31.3 MiB,
cortex,* Total tree entries,831 k,
cortex,* Blobs,,
cortex,* Count,123 k,
cortex,* Total size,8.83 GiB,
cortex,* Annotated tags,,
cortex,* Count,85,
cortex,* References,,
cortex,* Count,179,
cortex,* Branches,1,
cortex,* Tags,86,
cortex,* Remote-tracking refs,92,
cortex,,,
cortex,Biggest objects,,
cortex,* Commits,,
cortex,* Maximum size         [1],11.7 KiB,
cortex,* Maximum parents      [2],2,
cortex,* Trees,,
cortex,* Maximum entries      [3],317,
cortex,* Blobs,,
cortex,* Maximum size         [4],59.2 MiB,******
cortex,,,
cortex,History structure,,
cortex,* Maximum history depth,4.62 k,
cortex,* Maximum tag depth      [5],1,
cortex,,,
cortex,Biggest checkouts,,
cortex,* Number of directories  [6],1.71 k,
cortex,* Maximum path depth     [7],14,*
cortex,* Maximum path length    [8],144 B,*
cortex,* Number of files        [6],7.81 k,
cortex,* Total size of files    [9],142 MiB,
cortex,* Number of symlinks    [10],31,
cortex,* Number of submodules  [11],1,
telepresence,Name,Value,Level of concern
telepresence,----------------------------,---------,------------------------------
telepresence,Overall repository size,,
telepresence,* Commits,,
telepresence,* Count,12.8 k,
telepresence,* Total size,7.72 MiB,
telepresence,* Trees,,
telepresence,* Count,42.4 k,
telepresence,* Total size,22.6 MiB,
telepresence,* Total tree entries,622 k,
telepresence,* Blobs,,
telepresence,* Count,28.1 k,
telepresence,* Total size,380 MiB,
telepresence,* Annotated tags,,
telepresence,* Count,900,
telepresence,* References,,
telepresence,* Count,1.10 k,
telepresence,* Branches,1,
telepresence,* Tags,1.08 k,
telepresence,* Remote-tracking refs,17,
telepresence,,,
telepresence,Biggest objects,,
telepresence,* Commits,,
telepresence,* Maximum size         [1],60.6 KiB,*
telepresence,* Maximum parents      [2],4,
telepresence,* Trees,,
telepresence,* Maximum entries      [3],91,
telepresence,* Blobs,,
telepresence,* Maximum size         [4],7.24 MiB,
telepresence,,,
telepresence,History structure,,
telepresence,* Maximum history depth,6.09 k,
telepresence,* Maximum tag depth      [5],1,
telepresence,,,
telepresence,Biggest checkouts,,
telepresence,* Number of directories  [6],264,
telepresence,* Maximum path depth     [7],11,*
telepresence,* Maximum path length    [8],111 B,*
